Bar,Beer,Style,Country,TotalQty,TotalRevenue,TotalCost,AvgMarkupPercent,TotalMargin
Большой пр. В.О,"4Brewers  Сигнал, ж/б. 0,450 .",Сауэр эли (Ф),Россия ,3,1560.0,670.3199999999999,1.3272,889.6800000000001
Большой пр. В.О,4Brewers | Качок-Кабачок | 450мл.,Гозе и овощные гозе (Ф),Россия,1,490.0,222.46,1.2026,267.53999999999996
Большой пр. В.О,"4Brewers Зависимость острая, ж/б. 0,450 .",Гозе и овощные гозе (Ф),Россия ,1,550.0,211.68,1.5983,338.32
Большой пр. В.О,"4Brewers Зависимость, ж/б. 0,450 .",Гозе и овощные гозе (Ф),Россия ,4,1920.0,803.6,1.3892,1116.4
Большой пр. В.О,"4Brewers Морковка на Стажировке, ж/б. 0,500 .",Гозе и овощные гозе (Ф),Россия ,3,956.0,652.6800000000001,0.46469999999999995,303.32
Большой пр. В.О,"4Brewers Рассол Дико Зол, ж/б. 0,500 .",Гозе и овощные гозе (Ф),Россия ,4,1960.0,889.84,1.2026,1070.1599999999999
Большой пр. В.О,"4Brewers Укропная Зависимость , ж/б. 0,500 .",Гозе и овощные гозе (Ф),Россия ,1,550.0,234.22,1.3482,315.78
Большой пр. В.О,"Atmosphere brew Психоделический Трип, ж/б. 0,450 .",Темные эли (Ф),Россия ,2,900.0,396.0,1.2727,504.0
Большой пр. В.О,"Big Village Twist Joy (berliner weisse) ж/б, 0,450",Сауэр эли (Ф),Россия,1,0.22,212.85,-0.999,-212.63
Большой пр. В.О,"Blue Moon Wit,светлое, 0,330 бут.",Бланш (Ф),Бельгия,2,880.0,374.42,1.3503,505.58
Большой пр. В.О,"Bombardier Premium British, 0,5 бут",Имперское (Ф),Англия,3,2250.0,776.97,1.8959,1473.03
Большой пр. В.О,"Brew division  Forever young, бут., 0,33",Имперское (Ф),Россия ,2,1360.0,616.0,1.2078,744.0
Большой пр. В.О,"Brewlok Кикимора, ж/б. 0,500 .",Темные эли (Ф),Россия,2,760.0,300.7,1.5274,459.3
Большой пр. В.О,"Brewlok Русалка ж/б, 0,450",Сауэр эли (Ф),Россия,2,782.0,362.78,1.1556,419.22
Большой пр. В.О,"Chibis brewery МАКРАМЕ  ж/б 0,450",Сауэр эли (Ф),Россия,1,620.0,280.0,1.2143,340.0
Большой пр. В.О,"Gas Brew Jupiter thrill, ж/б. 0,450 .",Сауэр эли (Ф),Россия ,1,470.0,210.0,1.2381,260.0
Большой пр. В.О,"Gas Brew Saltmelier: Naryan-Mar, ж/б, 0,500",Гозе и овощные гозе (Ф),Россия,1,429.74,210.0,1.0464,219.74
Большой пр. В.О,"Gravity Project Bananed Banana, бут. 0,5л",Сидры и пуаре ур 2 (Ф),Россия,3,1314.58,653.4000000000001,0.93885,661.18
Большой пр. В.О,"Konix Cappuccino Stout, ж/б. 0,500 .",Темные эли (Ф),Россия ,1,290.0,140.0,1.0714,150.0
Большой пр. В.О,"Konix The Night Gate, 0,375",Имперское (Ф),Россия,3,1770.0,795.0,1.2264,975.0
Большой пр. В.О,"Konix Орион, ж/б. 0,450.",Другие охмеленные (Ф),Россия ,4,1279.0,600.0,1.131675,679.0
Большой пр. В.О,Lapochka Pineapple + Lychee ж/б 0.33,Напитки б/а (Ф),Россия,8,1750.08,896.0,0.9133285714285714,854.0799999999999
Большой пр. В.О,"Lapochka peach+verbena, ж/б 0.33",Напитки б/а (Ф),Россия,4,870.1,448.0,0.9421999999999999,422.1
Большой пр. В.О,"Lapochka Мираж: малина, гранат, ромашка, ж/б 0.33",Напитки б/а (Ф),Россия,4,1160.0,448.0,1.5893,712.0
Большой пр. В.О,"Lapochka Попробуй технологии на вкус, ж/б 0.33",Напитки б/а (Ф),Россия,1,290.0,112.0,1.5893,178.0
Большой пр. В.О,Magic Mess | Это моё болото | 500мл.,Сауэр эли (Ф),Россия,1,530.0,239.12,1.2165,290.88
Большой пр. В.О,"MagicMess Сёрф , 0,500 ж/б",ИПА (Ф),Россия,1,490.0,226.38,1.1645,263.62
Большой пр. В.О,Newcastle 0.33 бут,"Карамельное, янтарное пиво 2 Ф",Англия,2,1180.0,465.6,1.5344,714.4
Большой пр. В.О,"Old Speckled Hen, 0,5 ж/б","Карамельное, янтарное пиво 2 Ф",Англия,2,1100.0,446.2,1.4653,653.8
Большой пр. В.О,"PP Paraglider, ж/б. 0,500 .","Голден эли, АПА, Пэйл эли (Ф)",Россия ,2,1240.0,523.8,1.3673,716.2
Большой пр. В.О,"Plague brew Невская пивоварня London, 0.45 ж/б",Темные эли (Ф),Россия,1,440.0,200.0,1.2,240.0
Большой пр. В.О,"Plague brew Чечик,  ж/б. 0,500 .",Сауэр эли (Ф),Россия ,5,2268.44,1250.0,0.9297249999999999,1018.44
Большой пр. В.О,"Plan B Ghostwind, ж/б. 0,450 .",ИПА (Ф),Россия ,1,360.0,194.75,0.8485,165.25
Большой пр. В.О,"Polnochnyj Project  black damage, ж/б 0,5",Другие охмеленные (Ф),Россия,1,680.0,308.46,1.2045,371.54
Большой пр. В.О,"Polnochnyj Project your quintuple sour kitchen juice, ж/б 0,5",Сауэр эли (Ф),Россия,1,630.0,285.18,1.2091,344.82
Большой пр. В.О,"Sabotage TOTEM, 0,45 ж/б",ИПА (Ф),Россия,1,440.0,201.96,1.1786,238.04
Большой пр. В.О,"Saldens Double IPA ж/б. 0,450 .",Дабл ИПА + (Ф),Россия ,1,520.0,225.0,1.3111,295.0
Большой пр. В.О,"Selfmade 2X ж/б, 0,500",Дабл ИПА + (Ф),Россия,1,570.0,250.47,1.2757,319.53
Большой пр. В.О,"Selfmade Warlock Ritual ж/б, 0,500",Сауэр эли (Ф),Россия,1,540.0,227.7,1.3715,312.3
Большой пр. В.О,"StadsHaven Great White, 0,330 бут.",Бланш (Ф),Нидерланды,1,420.0,143.52,1.9264,276.48
Большой пр. В.О,"StadsHaven Moray IPA бут. 0,330 .",ИПА (Ф),Нидерланды,4,1680.0,608.64,1.7603,1071.3600000000001
Большой пр. В.О,"StadsHaven Octopus Blond 0,330 бут.",Светлая столовая бельгия (Ф),Бельгия,13,3260.12,1961.05,0.99455,1299.07
Большой пр. В.О,"Sullivan's Maltings 0,500 бут.","Карамельное, янтарное пиво 2 Ф",Ирландия,1,540.0,250.0,1.16,290.0
Большой пр. В.О,TRYWILD | 11 Aronia | 750мл.,Сидры и пуаре ур 2 (Ф),Россия,2,2780.0,1266.0,1.1959,1514.0
Большой пр. В.О,TRYWILD | La Dich | 750мл.,Сидры и пуаре ур 2 (Ф),Россия,1,1300.0,580.0,1.2414,720.0
Большой пр. В.О,"Zagovor Цитра Цитра Цитра, ж/б. 0,450 .",ИПА (Ф),Россия,1,454.47,276.0,0.6466,178.47000000000003
Большой пр. В.О,"Айингер Лагер Хелл, 0,500 бут.",Хели (Ф),Германия ,13,9750.0,4122.3,1.3652,5627.7
Большой пр. В.О,"Айингер Столетнее , 0,500 бут.",Хели (Ф),Германия ,1,750.0,317.1,1.3652,432.9
Большой пр. В.О,"Айингер Урвайсс, 0,500 бут.",Вайсс (Ф),Германия,2,1464.5700000000002,634.2,1.30935,830.37
Большой пр. В.О,"Араета 2021 грушевый 0,75 л бут.",Сидры и пуаре ур 2 (Ф),Испания,1,1050.0,484.0,1.1694,566.0
Большой пр. В.О,"Араета 2021 яблочный 0,75 л бут.",Сидры и пуаре ур 2 (Ф),Испания,1,850.0,406.0,1.0936,444.0
Большой пр. В.О,"Брю Дивижн Бэк ту Революшн ,  0,500 жб.",Дабл ИПА + (Ф),Россия,2,1040.0,400.0,1.6,640.0
Большой пр. В.О,"Бульви Шорли Вишня б/а 0,450",Сидры б/а (Ф),Россия,6,2100.0,750.0,1.8,1350.0
Большой пр. В.О,"Бульви сидр Тоффи 0,5 бут.",Сидры и пуаре ур 2 (Ф),Россия,2,960.0,420.0,1.2857,540.0
Большой пр. В.О,"Бургунь де Фландер, 0,330 бут.",Флемиш (Ф),Бельгия,1,676.97,344.35,0.9659,332.62
Большой пр. В.О,"Вайнштефан Оригинал Хеллес б/а, светлое, 0,500 бут.",Пиво б/а (Ф),Германия,4,1621.5,866.92,1.0006,754.5799999999999
Большой пр. В.О,"Вайнштефан Оригинал, светлое, 0,500 бут.",Хели (Ф),Германия ,6,1180.8,1569.72,0.12800000000000006,-388.9200000000001
Большой пр. В.О,"Вайнштефан Хефе Вайсбир, светлое, 0,500 бут.",Вайсс (Ф),Германия,3,1770.0,784.92,1.255,985.08
Большой пр. В.О,"Вайнштефан Хефевайсбир б/a,0,500 бут.",Другое нефильтрованное пиво (Ф,Германия,3,1470.0,615.0600000000001,1.39,854.94
Большой пр. В.О,"Вандер Гинсте, 0,250 бут.",Флемиш (Ф),Бельгия,3,1682.2,576.0,1.9204666666666668,1106.2
Большой пр. В.О,"Велка Морава Take Five, ж/б. 0,500 .","Голден эли, АПА, Пэйл эли (Ф)",Россия,3,1234.9,552.0,1.2371333333333334,682.9
Большой пр. В.О,"Верхаге Барбе Крик темное, 0,330 бут.",Крепкая вишня и персик (Ф),Бельгия,1,690.0,314.45,1.1943,375.55
Большой пр. В.О,"Вестмалле Траппист Дубль, 0,330 бут.",Темная столовая бельгия (Ф),Бельгия,2,1180.0,462.0,1.5541,718.0
Большой пр. В.О,"Делириум Рэд, 0,330 бут.",Крепкая вишня и персик (Ф),Бельгия,1,850.0,269.0,2.1599,581.0
Большой пр. В.О,"Делириум Тременс, 0,330 бут.",Светлая столовая бельгия (Ф),Бельгия,4,2880.0,1124.0,1.5622999999999998,1756.0
Большой пр. В.О,"Джоус Атомная Прачечная, светлое, 0,500 бут.",Пиво б/а (Ф),Россия,8,4482.49,2111.8599999999997,1.14432,2370.63
Большой пр. В.О,"Джоус Овсяный Стаут, темное, 0,500 бут.",Темные эли (Ф),Россия,2,877.15,400.0,1.1928999999999998,477.15
Большой пр. В.О,"Джоус Саур Бриз Грейпфрут, 0,500 бут.",Сауэр эли (Ф),Россия,1,420.0,255.0,0.6471,165.0
Большой пр. В.О,"Дюшес Де Бургунь 0,330 бут.",Флемиш (Ф),Бельгия,8,5496.85,2560.72,1.138542857142857,2936.13
Большой пр. В.О,"Заговор Фрактал, ж/б. 0,500 .",Сауэр эли (Ф),Россия,6,3207.52,1596.0,0.999575,1611.52
Большой пр. В.О,"Заповедник  ЛингонЭппл 0,3 л бут.",Сидры и пуаре ур 2 (Ф),Россия,3,1410.0,630.0,1.2381,780.0
Большой пр. В.О,"Заповедник  Умебоши 0,3 л бут.",Сидры и пуаре ур 2 (Ф),Россия,3,395.12,616.28,-0.03870000000000001,-221.16000000000003
Большой пр. В.О,"Заповедник Плацебо  0,33 л бут.",Сидры и пуаре ур 2 (Ф),Россия,1,290.0,210.0,0.381,80.0
Большой пр. В.О,"Заповедник Ревность (Ревень), бут. 0,330",Сидры и пуаре ур 2 (Ф),Россия ,3,1290.0,582.0,1.2165,708.0
Большой пр. В.О,"Заповедник Черри Шот  0,33 л бут.",Сидры и пуаре ур 2 (Ф),Россия,1,490.0,200.62,1.4424,289.38
Большой пр. В.О,"Зеро Поинт Портер 42 б/а, 0,330 ж/б",Пиво б/а (Ф),Россия,2,780.0,323.4,1.4119,456.6
Большой пр. В.О,"Зеро Поинт Силк Роуд б/а, 0,330 ж/б",Пиво б/а (Ф),Россия,4,1500.1,646.8,1.319275,853.3000000000001
Большой пр. В.О,"Зубр Голд , 0,500 бут.",Пилснеры (Ф),Чехия,4,1960.0,885.16,1.2143,1074.8400000000001
Большой пр. В.О,"Зундерт 10 Траппист 0,330 бут.",Крепкая бельгия 8+ (Ф),Нидерланды,1,950.0,388.0,1.4485,562.0
Большой пр. В.О,"Кастил Руж, 0,330 бут.",Крепкая вишня и персик (Ф),Бельгия,4,2084.71,1296.0,0.7385,788.7099999999999
Большой пр. В.О,Квак Амбер 0.33,Светлая столовая бельгия (Ф),Бельгия,3,2370.0,957.0,1.4765,1413.0
Большой пр. В.О,Кулинар Черничный Ночи,Сауэр эли (Ф),Россия,2,1298.3400000000001,649.9,0.9977499999999999,648.44
Большой пр. В.О,"Ла Трапп Квадрупель, темное, 0,330 бут.",Крепкая бельгия 8+ (Ф),Нидерланды,2,1700.0,630.0,1.6984,1070.0
Большой пр. В.О,"Ла Траппе Исидор, 0,750 бут.",Светлая столовая бельгия (Ф),Нидерланды,1,1590.0,743.0,1.14,847.0
Большой пр. В.О,"Мантра Galaxy Edge, ж/б. 0,500",Бланш (Ф),Россия,1,605.67,325.0,0.8636,280.66999999999996
Большой пр. В.О,"Мантра Galaxy blue, ж/б. 0,500",Сауэр эли (Ф),Россия,1,690.0,251.0,1.749,439.0
Большой пр. В.О,"О'харас Ред  Нитро, 0,440 ж/б",Темные эли (Ф),Ирландия,3,1808.54,906.0,1.0104,902.54
Большой пр. В.О,"Одна Тонна Choko Mammuth , ж/б 0,330 .",Темные эли (Ф),Россия,3,1290.0,555.0,1.3243,735.0
Большой пр. В.О,"Орвал, 0,330 бут.",Крепкая бельгия 8+ (Ф),Бельгия,8,6798.43,2928.0,1.239375,3870.43
Большой пр. В.О,"Парадокс Мичелада ж/б. 0,330 .",Гозе и овощные гозе (Ф),Россия,1,460.0,259.0,0.7761,201.0
Большой пр. В.О,"План Б Rare Bird, ж/б., 0,5",ИПА (Ф),Россия,2,780.0,366.7,1.1271,413.3
Большой пр. В.О,"План Б Sand Runner, 0.45 ж/б",ИПА (Ф),Россия,2,834.3,389.5,1.142,444.79999999999995
Большой пр. В.О,"План Б Райз оф Зе Зомбис, ж/б., 0,450","Голден эли, АПА, Пэйл эли (Ф)",Россия,4,1725.77,748.6,1.305325,977.1700000000001
Большой пр. В.О,"План Б Солнечный Ветер, ж/б, 0,450","Голден эли, АПА, Пэйл эли (Ф)",Россия,2,900.0,366.7,1.4543,533.3
Большой пр. В.О,"Полночный Проект Lord Of The Board, ж/б, 0,500","Голден эли, АПА, Пэйл эли (Ф)",Россия,2,907.95,461.72,0.96645,446.22999999999996
Большой пр. В.О,"Полночный Проект Икарус, ж/б, 0,500",НЕИПА (Ф),Россия,4,2360.0,1070.88,1.2038,1289.12
Большой пр. В.О,"Ребел Эпл Кармилла, 0,33 бут.",Сидры и пуаре ур 2 (Ф),Россия,1,0.13,176.4,-0.9993,-176.27
Большой пр. В.О,"Ригеле Вайцен Допельбок Аугустус, 0,500 бут.",Другое нефильтрованное пиво (Ф,Германия,4,650.63,1185.29,0.09715000000000001,-534.6600000000001
Большой пр. В.О,"Ригеле Вюрцигес Экспорт, 0,500 бут.",Хели (Ф),Германия ,4,2484.0,1110.24,1.2373500000000002,1373.76
Большой пр. В.О,"Ригеле Файнес Урхелль, светлое, 0,500 бут.",Хели (Ф),Германия ,1,0.21,270.28,-0.9992,-270.07
Большой пр. В.О,"Ригеле Хефевайсбир, светлое, 0,500 бут.",Вайсс (Ф),Германия,2,1380.0,555.12,1.4859,824.88
Большой пр. В.О,"Рошфор 6, 0,330 бут.",Светлая столовая бельгия (Ф),Бельгия,1,580.0,261.0,1.2222,319.0
Большой пр. В.О,"С-Петерс Руби ред, 0,500 бут.","Карамельное, янтарное пиво 2 Ф",Англия,5,2189.3,1558.3300000000002,0.40488,630.9699999999999
Большой пр. В.О,"Саботаж Пицца Тайм  ж/б, 0,500",Гозе и овощные гозе (Ф),Россия,3,1470.0,680.13,1.1614,789.8699999999999
Большой пр. В.О,"Степь и ветер Punch,  0.450 ж/б",Миды и меломели (Ф),Россия ,2,1180.0,544.88,1.1656,635.12
Большой пр. В.О,"СэлфМэйд ceremony, ж/б. 0,450 .",НЕИПА (Ф),Россия,4,2120.0,938.52,1.2589,1181.48
Большой пр. В.О,"Трипл Кармелит, 0,330 бут.",Крепкая бельгия 8+ (Ф),Бельгия,1,690.0,311.0,1.2186,379.0
Большой пр. В.О,"Фердинанд б/а, 0,500 бут.",Пиво б/а (Ф),Чехия,1,420.0,231.83,0.8117,188.17
Большой пр. В.О,"Фуллерс ЕСБ, 0,500 бут.","Карамельное, янтарное пиво 2 Ф",Англия,5,3687.0,1743.55,1.1302,1943.45
Большой пр. В.О,"Шапо Ананас Ламбик, 0,250 бут.",Фруктовые ламбики (столовые) Ф,Бельгия,7,1994.47,1603.0,0.3894,391.46999999999997
Большой пр. В.О,"Шимэ Рэд Кап, 0,330 бут.",Темная столовая бельгия (Ф),Бельгия,1,770.0,300.0,1.5667,470.0
Большой пр. В.О,"Шнайдер TАР7, 0,500 бут.",Вайсс (Ф),Германия,2,0.42,569.48,-0.9993,-569.0600000000001
Большой пр. В.О,"Шнайдер Авентинус Вайзен-Айсбок, 0,330 бут.",Другое нефильтрованное пиво (Ф,Германия ,1,890.0,381.73,1.3315,508.27
Большой пр. В.О,"Шнайдер Авентинус ТАР6, 0,500 бут.",Темные эли (Ф),Германия,2,0.47,630.4,-0.9993,-629.93
Большой пр. В.О,"Шнайдер Майне Хелле ТАР1, 0,500 бут.",Вайсс (Ф),Германия,2,650.21,569.48,0.14175,80.72999999999996
Большой пр. В.О,"Штраффе Квадрюпель Херитэйдж дерев. кор., 0,75 бут.",Крепкая бельгия 8+ (Ф),Бельгия,3,4504.77,6738.0,0.0023500000000000187,-2233.2299999999996
Большой пр. В.О,"Эплтон Пич , бут. 0,5л",Сидры и пуаре ур 2 (Ф),Россия,2,684.88,358.0,0.9131,326.88
Большой пр. В.О,"Якобинс Кюве Руж, темное, 0,330 бут.",Крепкая вишня и персик (Ф),Бельгия,3,2380.67,900.0,1.6451666666666667,1480.67
Варшавская, Brewlok  Мыло Асс.,Напитки б/а (Ф),Россия,5,1900.0,965.1500000000001,0.9686,934.8499999999999
Варшавская,"4BREWERS Заяц в шоке, ж/б. 0,450",Сауэр эли (Ф),Россия ,2,1016.89,532.0,0.91145,484.89
Варшавская,"4Brewers  Магия , ж/б. 0,500 .",Сауэр эли (Ф),Россия ,2,1300.0,519.4,1.5029,780.6
Варшавская,"4Brewers Грибы судьбы ж/б 0,450 ",Сауэр эли (Ф),Россия ,1,450.0,206.78,1.1762,243.22
Варшавская,"4Brewers Зависимость Болгарский перц, ж/б. 0,450 .",Гозе и овощные гозе (Ф),Россия ,5,2241.68,1154.57,0.8964500000000001,1087.1100000000001
Варшавская,"4Brewers Зависимость, ж/б. 0,450 .",Гозе и овощные гозе (Ф),Россия ,1,435.13,200.9,1.1659,234.23
Варшавская,"4Brewers Схемки, 0,450 ж/б",НЕИПА (Ф),Россия ,1,590.0,267.0,1.2097,323.0
Варшавская,Andreev Meridian Breeze 0.75,Сидры и пуаре ур 2 (Ф),Россия,1,1200.0,560.0,1.1429,640.0
Варшавская,"Big Village Момиджигари, ж/б. 0,500 .",Сауэр эли (Ф),Россия,2,1100.0,514.8,1.1368,585.2
Варшавская,"Chibis brewery Сладкоежка 2  ж/б 0,450",Сауэр эли (Ф),Россия,3,1729.8600000000001,810.0,1.1108500000000001,919.86
Варшавская,"Chibis brewery Сладкоежка 3  ж/б 0,450",Сауэр эли (Ф),Россия,3,1673.71,810.0,1.0663333333333334,863.71
Варшавская,"Gletcher Nut Butter, ж/б. 0,500 .",Темные эли (Ф),Россия ,1,390.0,172.0,1.2674,218.0
Варшавская,"Konix Salt and Malt, ж/б. 0,450 .",Гозе и овощные гозе (Ф),Россия ,6,2129.55,840.0,1.5978,1289.55
Варшавская,"Konix Орион, ж/б. 0,450.",Другие охмеленные (Ф),Россия ,2,840.0,344.0,1.4419,496.0
Варшавская,"Lapochka Cherry Cola, ж/б 0.33",Напитки б/а (Ф),Россия,1,290.0,112.0,1.5893,178.0
Варшавская,Lapochka Christmas ж/б 0.33,Напитки б/а (Ф),Россия,1,290.0,112.0,1.5893,178.0
Варшавская,Lapochka Pear+Ginger+CBD ж/б 0.33,Напитки б/а (Ф),Россия,2,580.0,248.0,1.3387,332.0
Варшавская,Midnight Project | Cyberpunk Shotgun | 500мл.,Дабл ИПА + (Ф),Россия,5,2928.91,1202.8,1.43506,1726.11
Варшавская,"PP Gose 0.5, бан",Другие охмеленные (Ф),Россия,2,900.0,413.22,1.178,486.78
Варшавская,Sabotage | Электродог | 500мл.,ИПА (Ф),Россия,1,490.0,0.0,0.0,490.0
Варшавская,"Saldens American IPA Six Hops ж/б. 0,450 .",Дабл ИПА + (Ф),Россия ,2,980.0,480.0,1.0417,500.0
Варшавская,"Selfmade Space Navigator, ж/б. 0,450 .",НЕИПА (Ф),Россия ,1,550.0,250.0,1.2,300.0
Варшавская,"StadsHaven Great White, 0,330 бут.",Бланш (Ф),Нидерланды,1,470.0,149.6,2.1417,320.4
Варшавская,"StadsHaven Moray IPA бут. 0,330 .",ИПА (Ф),Нидерланды,3,1227.68,454.5,1.7011666666666667,773.1800000000001
Варшавская,"АФ БРЮ Ингрия 0,330 бут.",ИПА (Ф),Россия,3,1320.0,591.0,1.2335,729.0
Варшавская,"АФ БРЮ Ит зе даст МОЗАИК, ж/б. 0,500 .",Дабл ИПА + (Ф),Россия,1,590.0,195.0,2.0256,395.0
Варшавская,"АФ БРЮ Расбери из май сенкчуари, ж/б. 0,500 .",Сауэр эли (Ф),Россия,2,980.0,622.0,0.5756,358.0
Варшавская,"Айингер Лагер Хелл, 0,500 бут.",Хели (Ф),Германия ,9,6390.0,2853.9,1.239,3536.1
Варшавская,"Айингер Столетнее , 0,500 бут.",Хели (Ф),Германия ,6,4260.0,1902.6,1.239,2357.4
Варшавская,"Айингер Фестмарцен , 0,500 бут.",Другие лагеры (Ф),Германия,8,6160.0,2442.24,1.5223,3717.76
Варшавская,"Бакунин Рэд Маньак, ж/б. 0,500 .",Другие охмеленные (Ф),Россия,1,590.0,235.0,1.5106,355.0
Варшавская,Бембел Голд 0.5 л ж/б.,Сидры и пуаре ур 2 (Ф),Германия,1,520.0,250.0,1.08,270.0
Варшавская,Бембел Кирш 0.5 л ж/б.,Сидры и пуаре ур 2 (Ф),Германия,1,520.0,250.0,1.08,270.0
Варшавская,"Брю Дивижн Ай Рай. Рай Ай Пи Эй, 0,500 жб.","Голден эли, АПА, Пэйл эли (Ф)",Россия,3,1560.0,741.0,1.1053,819.0
Варшавская,"Брю Дивижн Бэк ту Революшн ,  0,500 жб.",Дабл ИПА + (Ф),Россия,4,1783.6399999999999,800.0,1.22955,983.64
Варшавская,"Брюгге зот дюбель, 0,330 бут.",Светлая столовая бельгия (Ф),Бельгия,1,620.0,277.0,1.2383,343.0
Варшавская,"Брюгге зот, 0,330 бут.",Светлая столовая бельгия (Ф),Бельгия,5,2950.0,1345.0,1.1933,1605.0
Варшавская,"Бульви Артизиан Розе Брют, 0,750 бут.",Сидры и пуаре ур 2 (Ф),Россия,1,860.0,620.0,0.3871,240.0
Варшавская,"Бульви Вивизеро, сухой 0,45 л бут.",Сидры б/а (Ф),Россия,2,940.0,420.0,1.2381,520.0
Варшавская,"Бульви Пуаре, 0,750 бут.",Сидры б/а (Ф),Россия,2,1600.0,898.0,0.7817,702.0
Варшавская,"Бульви Рустик полусладкий, бут. 0,45л",Сидры б/а (Ф),Россия,1,450.0,199.0,1.2613,251.0
Варшавская,"Бун Крик 0,250 бут.",Фруктовые ламбики (столовые) Ф,Бельгия,1,440.0,200.09,1.199,239.91
Варшавская,"Вайнштефан Оригинал, светлое, 0,500 бут.",Хели (Ф),Германия ,12,7080.0,3139.44,1.2552,3940.56
Варшавская,"Вайнштефан Хефе Вайсбир, светлое, 0,500 бут.",Вайсс (Ф),Германия,2,1163.33,525.02,1.2157499999999999,638.3100000000001
Варшавская,"Васька Светлое, 0,450 бут.",Другие лагеры (Ф),Россия,5,1350.0,550.0,1.4545000000000001,800.0
Варшавская,Васька Чёрное 0.45л бут,Темные эли (Ф),Россия,4,1030.7,440.0,1.3354333333333333,590.7
Варшавская,"Верхаге Барбе Крик темное, 0,330 бут.",Крепкая вишня и персик (Ф),Бельгия,2,1380.0,628.9,1.1943,751.1
Варшавская,"Вестмалле Траппист Дубль, 0,330 бут.",Темная столовая бельгия (Ф),Бельгия,1,590.0,231.0,1.5541,359.0
Варшавская,"Горьковская Into the Unknown, 0,440 бут.",Имперское (Ф),Россия,1,460.0,225.0,1.0444,235.0
Варшавская,"Дальняя дача №1 сухой 0,500, ж/б",Сидры и пуаре ур 2 (Ф),Россия,2,1020.52,384.0,1.6576,636.52
