ПЛАНЫ НА 2025-2026 ГОД,,,,,,,,
,,,,,,,,
Январь 2025,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,,,,,,,,
Прибыль,,,,,,,,
Чеки,,,,,,,,
Средний чек,,,,,,,,
Доля розлив,,,,,,,,
Доля фасовка,,,,,,,,
Доля кухня,,,,,,,,
Наценка,,,,,,,,
Наценка розлив,,,,,,,,
Наценка фасовка,,,,,,,,
Наценка кухня,,,,,,,,
,,,,,,,,
Февраль 2025,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,,,,,,,,
Прибыль,,,,,,,,
Чеки,,,,,,,,
Средний чек,,,,,,,,
Доля розлив,,,,,,,,
Доля фасовка,,,,,,,,
Доля кухня,,,,,,,,
Наценка,,,,,,,,
Наценка розлив,,,,,,,,
Наценка фасовка,,,,,,,,
Наценка кухня,,,,,,,,
,,,,,,,,
Март 2025,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,,,,,,,,
Прибыль,,,,,,,,
Чеки,,,,,,,,
Средний чек,,,,,,,,
Доля розлив,,,,,,,,
Доля фасовка,,,,,,,,
Доля кухня,,,,,,,,
Наценка,,,,,,,,
Наценка розлив,,,,,,,,
Наценка фасовка,,,,,,,,
Наценка кухня,,,,,,,,
,,,,,,,,
Апрель 2025,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,,,,,,,,
Прибыль,,,,,,,,
Чеки,,,,,,,,
Средний чек,,,,,,,,
Доля розлив,,,,,,,,
Доля фасовка,,,,,,,,
Доля кухня,,,,,,,,
Наценка,,,,,,,,
Наценка розлив,,,,,,,,
Наценка фасовка,,,,,,,,
Наценка кухня,,,,,,,,
,,,,,,,,
Май 2025,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,,,,,,,,
Прибыль,,,,,,,,
Чеки,,,,,,,,
Средний чек,,,,,,,,
Доля розлив,,,,,,,,
Доля фасовка,,,,,,,,
Доля кухня,,,,,,,,
Наценка,,,,,,,,
Наценка розлив,,,,,,,,
Наценка фасовка,,,,,,,,
Наценка кухня,,,,,,,,
,,,,,,,,
Июнь 2025,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,,,,,,,,
Прибыль,,,,,,,,
Чеки,,,,,,,,
Средний чек,,,,,,,,
Доля розлив,,,,,,,,
Доля фасовка,,,,,,,,
Доля кухня,,,,,,,,
Наценка,,,,,,,,
Наценка розлив,,,,,,,,
Наценка фасовка,,,,,,,,
Наценка кухня,,,,,,,,
,,,,,,,,
Июль 2025,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,,,,,,,,
Прибыль,,,,,,,,
Чеки,,,,,,,,
Средний чек,,,,,,,,
Доля розлив,,,,,,,,
Доля фасовка,,,,,,,,
Доля кухня,,,,,,,,
Наценка,,,,,,,,
Наценка розлив,,,,,,,,
Наценка фасовка,,,,,,,,
Наценка кухня,,,,,,,,
,,,,,,,,
Август 2025,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,,,,,,,,
Прибыль,,,,,,,,
Чеки,,,,,,,,
Средний чек,,,,,,,,
Доля розлив,,,,,,,,
Доля фасовка,,,,,,,,
Доля кухня,,,,,,,,
Наценка,,,,,,,,
Наценка розлив,,,,,,,,
Наценка фасовка,,,,,,,,
Наценка кухня,,,,,,,,
,,,,,,,,
Сентябрь 2025,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,1500000,,1836000,1000800,4336800,,,
Списания баллов,75000,0,91800,50040,216840,,,
Прибыль,973684.2105263158,,1206697.7,666658.44,2847040.3505263156,,,
Чеки,1363,,1020,720,3103,,,
Средний чек,1100,,1800,1390,1430,,,
Доля розлив,60,,60,60,60,,,
Доля фасовка,25,,25,25,25,,,
Доля кухня,15,,15,15,15,,,
Наценка,185,,191.75,199.51,192.08666666666667,,,
Наценка розлив,225,,250,260,245,,,
Наценка фасовка,110,,120,120,116.66666666666667,,,
Наценка кухня,150,,160,180,163.33333333333334,,,
,,,,,,,,
Октябрь 2025,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,1201750,655500,1608900,962050,4428200,,,
Списания баллов,60087.5,32775,80445,48102.5,221410,,,
Прибыль,795564.1,421720.28,1072600,643275.5,2933159.88,,,
Чеки,1045,690,930,710,3375,,,
Средний чек,1150,950,1730,1355,1296.25,,,
Доля розлив,60,60,60,60,60,,,
Доля фасовка,25,30,25,25,26.25,,,
Доля кухня,15,10,15,15,13.75,,,
Наценка,195.86,180.39,200,201.8,194.5125,,,
Наценка розлив,260,230,260,260,252.5,,,
Наценка фасовка,120,120,125,125,122.5,,,
Наценка кухня,160,160,170,180,167.5,,,
,,,,,,,,
Ноябрь 2025,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,1000500,825000,1400000,951750,4177250,,,
Списания баллов,50025,41250,70000,47587.5,208862.5,,,
Прибыль,662335.66,515769.23,933333.33,637219.29,2748657.5100000002,,,
Чеки,870,750,800,705,3125,,,
Средний чек,1150,1100,1750,1350,1337.5,,,
Доля розлив,60,60,60,60,60,,,
Доля фасовка,25,30,25,24,26,,,
Доля кухня,15,10,15,16,14,,,
Наценка,195.86,166.79,200,202.59,191.31,,,
Наценка розлив,260,200,260,260,245,,,
Наценка фасовка,120,120,125,125,122.5,,,
Наценка кухня,160,160,170,180,167.5,,,
,,,,,,,,
Декабрь 2025,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,1006200,1006400,1502550,1000500,4515650,,,
Списания баллов,50310,50320,75127.5,50025,225782.5,,,
Прибыль,666109.09,645274.83,1001700,670732.02,2983815.94,,,
Чеки,780,740,795,690,3005,,,
Средний чек,1290,1360,1890,1450,1497.5,,,
Доля розлив,60,60,60,60,60,,,
Доля фасовка,25,25,25,23,24.5,,,
Доля кухня,15,15,15,17,15.5,,,
Наценка,195.86,178.68,200,203.4,194.48499999999999,,260.0,
Наценка розлив,260,220,260,260,250,,120.0,
Наценка фасовка,120,120,125,125,122.5,,170.0,
Наценка кухня,160,160,170,180,167.5,,,
,,,,,,,,
Январь 2026,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,910800,910800,1302400,910800,4034800,,,"1 302 400,00"
Списания баллов,45540,45540,65120,45540,201740,,,
Прибыль,602953.85,582223.27,864977.78,612584.13,2662739.0300000003,,,
Чеки,660,660,740,660,2720,,,
Средний чек,1380,"1 380,00","1 760,00","1 380,00",1380,,,
Доля розлив,60,60,60,60,60,,,
Доля фасовка,25,25,25,23,24.5,,,
Доля кухня,15,15,15,17,15.5,,,
Наценка,195.86,177.2,197.74,205.42,194.05499999999998,,,
Наценка розлив,260,210,260,270,250,,,
Наценка фасовка,120,120,120,120,120,,,
Наценка кухня,160,180,170,180,172.5,,,
,,,,,,,,
Февраль 2026,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,889952,889952,1249812,869968,3899684,,,
Списания баллов,44497.600000000006,44497.600000000006,62490.600000000006,43498.4,194984.2,,,
Прибыль,595421.9496955256,595421.9496955256,836186.1064336775,582051.6642838231,2609081.6701085516,,,
Чеки,585.4947368421052,585.4947368421052,739.5337278106509,572.3473684210526,2482.870569915914,,,
Средний чек,1520,1520,1690,1520,1562.5,,,
Доля розлив,60,60,60,60,60,,,
Доля фасовка,22,22,22,22,22,,,
Доля кухня,18,18,18,18,18,,,
Наценка,202.16,202.16,202.16,202.16,202.16,,,
Наценка розлив,260,260,260,260,260,,,
Наценка фасовка,120,120,120,120,120,,,
Наценка кухня,180,180,180,180,180,,,
Март 2026,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,,,,,,,,
Прибыль,,,,,,,,
Чеки,,,,,,,,
Средний чек,,,,,,,,
Доля розлив,,,,,,,,
Доля фасовка,,,,,,,,
Доля кухня,,,,,,,,
Наценка,,,,,,,,
Наценка розлив,,,,,,,,
Наценка фасовка,,,,,,,,
Наценка кухня,,,,,,,,
,,,,,,,,
Апрель 2026,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,,,,,,,,
Прибыль,,,,,,,,
Чеки,,,,,,,,
Средний чек,,,,,,,,
Доля розлив,,,,,,,,
Доля фасовка,,,,,,,,
Доля кухня,,,,,,,,
Наценка,,,,,,,,
Наценка розлив,,,,,,,,
Наценка фасовка,,,,,,,,
Наценка кухня,,,,,,,,
,,,,,,,,
Май 2026,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,,,,,,,,
Прибыль,,,,,,,,
Чеки,,,,,,,,
Средний чек,,,,,,,,
Доля розлив,,,,,,,,
Доля фасовка,,,,,,,,
Доля кухня,,,,,,,,
Наценка,,,,,,,,
Наценка розлив,,,,,,,,
Наценка фасовка,,,,,,,,
Наценка кухня,,,,,,,,
,,,,,,,,
Июнь 2026,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,,,,,,,,
Прибыль,,,,,,,,
Чеки,,,,,,,,
Средний чек,,,,,,,,
Доля розлив,,,,,,,,
Доля фасовка,,,,,,,,
Доля кухня,,,,,,,,
Наценка,,,,,,,,
Наценка розлив,,,,,,,,
Наценка фасовка,,,,,,,,
Наценка кухня,,,,,,,,
,,,,,,,,
Июль 2026,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,,,,,,,,
Прибыль,,,,,,,,
Чеки,,,,,,,,
Средний чек,,,,,,,,
Доля розлив,,,,,,,,
Доля фасовка,,,,,,,,
Доля кухня,,,,,,,,
Наценка,,,,,,,,
Наценка розлив,,,,,,,,
Наценка фасовка,,,,,,,,
Наценка кухня,,,,,,,,
,,,,,,,,
Август 2026,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,,,,,,,,
Прибыль,,,,,,,,
Чеки,,,,,,,,
Средний чек,,,,,,,,
Доля розлив,,,,,,,,
Доля фасовка,,,,,,,,
Доля кухня,,,,,,,,
Наценка,,,,,,,,
Наценка розлив,,,,,,,,
Наценка фасовка,,,,,,,,
Наценка кухня,,,,,,,,
,,,,,,,,
Сентябрь 2026,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,,,,,,,,
Прибыль,,,,,,,,
Чеки,,,,,,,,
Средний чек,,,,,,,,
Доля розлив,,,,,,,,
Доля фасовка,,,,,,,,
Доля кухня,,,,,,,,
Наценка,,,,,,,,
Наценка розлив,,,,,,,,
Наценка фасовка,,,,,,,,
Наценка кухня,,,,,,,,
,,,,,,,,
Октябрь 2026,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,,,,,,,,
Прибыль,,,,,,,,
Чеки,,,,,,,,
Средний чек,,,,,,,,
Доля розлив,,,,,,,,
Доля фасовка,,,,,,,,
Доля кухня,,,,,,,,
Наценка,,,,,,,,
Наценка розлив,,,,,,,,
Наценка фасовка,,,,,,,,
Наценка кухня,,,,,,,,
,,,,,,,,
Ноябрь 2026,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,,,,,,,,
Прибыль,,,,,,,,
Чеки,,,,,,,,
Средний чек,,,,,,,,
Доля розлив,,,,,,,,
Доля фасовка,,,,,,,,
Доля кухня,,,,,,,,
Наценка,,,,,,,,
Наценка розлив,,,,,,,,
Наценка фасовка,,,,,,,,
Наценка кухня,,,,,,,,
,,,,,,,,
Декабрь 2026,,,,,,,,
Метрика,Большой пр. В.О,Лиговский,Кременчугская,Варшавская,Общая,,,
Выручка,,,,,,,,
Прибыль,,,,,,,,
Чеки,,,,,,,,
Средний чек,,,,,,,,
Доля розлив,,,,,,,,
Доля фасовка,,,,,,,,
Доля кухня,,,,,,,,
Наценка,,,,,,,,
Наценка розлив,,,,,,,,
Наценка фасовка,,,,,,,,
Наценка кухня,,,,,,,,
